input,output
"phone kharab ho gaya,kaise thik karu?","repare shop pe le jao yaar, jaldi thik ho jaayega."
"lunch khana hai,aaoge?","haan yaar, kya banaya hai?"
movie dekhne jaate hai?,"accha idea hai, kaunsi movie dekhenge?"
"traffic bahut zyada hai,kya karu?","wait karo yaar, thodi der mein khul jaayega."
"aaj bahut boring din hai,kya karu?","koi interesting book padho yaar, time pass ho jaayega."
"internet ka speed aaj bahut slow hai,kya?","haan yaar, lagta hai server down hai."
kya tumhe yeh kapde pasand aaye?,"haan yaar, bahut ache lag rahe hain."
"aaj bahut kaam hai,kya?","haan yaar, abhi to shuruwat hai."
koi new song sunao?,"accha, ek minute, aapke liye find karta hoon."
"bus ka wait kar raha hoon,bahut late hai?","haan yaar, aaj bahut bheed hai."
"shopping karna hai,aaoge?","haan yaar, kahaan jaana hai?"
kya tumne yeh movie dekhi?,"haan yaar, bahut mast movie thi."
aaj kaise tha din?,"achcha tha yaar, kuchh special toh nahin tha."
"chalo,kal milte hai?","haan yaar, kal milenge, bye."
kya tumhe kuchh chai chahiye?,"haan yaar, ek cup please."
apna kaam complete kar liya?,"haan yaar, ab thoda rest karta hoon."
kaise ho yaar?,"bhai, ghar pe hi chill maara hoon."
ab aage kya plan hai?,"kuchh nahin, bas khana banana hai."
bus ka wait kar rahe ho kya?,"haan, kafi der se khadi hain, bus nahin aarahi."
movie dekhne jaaoge kya?,"haa, lekin koi acha movie decide nahin ho raha."
kya kar rahe ho aise?,"bas yaar, ye meeting aa gayi, bahut boring hai."
kya aapko chai chai piya?,"haan, please ek cup chai bana do."
"aur batao,kya chal raha hai?","bas yaar, aaj to bahut work hai, khali nahin hun."
yeh new phone kaisa hai?,"badiya hai yaar, battery life toh bahut good hai."
khaana khaa liya?,"haan, ghar pe khana banaa ke khaaya."
kya aaj party hai?,"haan, office party hai, jana padega."
kitna traffic hai aaj!,"haan yaar, kahi nikalna toh mushkil hai."
kal kaunsa film dekhenge?,"aare, mujhe nahin pata, tum hi batao."
"bhai,aaj kaise ho?","yaar, thoda thak gaya, bahut kam kiya aaj."
kaunsi course kar rahe ho?,"software engineering kar raha hun, ek saal ka course hai."
yeh bag naya hai kya?,"haan yaar, new year pe khud ko gift diya hai."
aaj ka weather kaisa hai?,"aaj to bahut garmi hai, bahar nikalna bhi nahin chahta."
aap kya kar rahe ho?,"bus, padhai kar rahi hun, exam aane wala hai."
kaunsa book padh rahe ho?,"ek science fiction book padh rahi hun, bahut interesting hai."
yeh cake kaise bana?,"mom ne banaya hai, bahut tasty hai."
aaj toh bahut garmi hai!,"haan yaar, pant khul jaane wali hai."
aaj kya banaya hai?,"aloo matar, aap kya khaana chahte ho?"
"kya baat hai,aaj to bahut late aa rahe ho!","haan yaar, traffic jam mein fas gaya."
"kal exam hai,kaisa lag raha hai?","bhai, pressure to hai, but padhayi toh kar li."
phone charger hai?,"haan, le lo, use kar lo."
"chalo,coffee peene jaate hai!","haaan, bahut jaldi se chalo, time kam hai."
kya aaj movie dekhne jaate hai?,"haan, abhi toh abhi!"
ye naya phone kaise hai?,"zabardast yaar, battery life toh bahut badhiya hai."
aaj kuch special plan hai?,"nahi yaar, bas ghar pe relax karunga."
kaise ho?,"theek hun yaar, tum kaise ho?"
yeh project to bahut tough hai!,"haan, but hum toh manage kar lenge."
train ka ticket book ho gaya?,"haan, kal subah nikal rahe hain."
shopping karne chale jaate hai!,"haaan, koi new clothes lete hai."
kya aaj kuchh khane ke liye order karte hai?,"haan, pizza mangao yaar!"
kya tumne wo new song suna?,"nahi yaar, batao kaisa hai?"
"aaj party hai,aa rahe ho?","haan yaar, lekin jaldi aaunga."
football match dekh rahe ho?,"haan, messi ka game hai!"
ye movie bahut boring hai!,"haaan yaar, hum toh kisi aur film mein chale jaate hain."
aaj ka weather toh ghazab hai na?,"haan yaar, jisko chala hai jaane do."
"koi kya bataayega,life toh aisi hi hai!",aise hi chalti rehti hai na.
"bhai,kal party hai kya?","haan yaar, lekin aane ka mazaa aayega."
kya time waste kar raha hai?,"chalo yaar, khana khaa kar, kuchh kam karte hain."
aaj ka movie toh block buster hai!,"haa, dekhi toh?"
"chalo na,chai peete hain!","yaar, kaam bahut hai, baad mein."
tere bhai ne new phone liya?,"haa, ab kya, khush ho gaya hai."
college mein kya chal raha hai?,"boring hi hai, padhai aur exam hi."
"yaar,tera mobile number chahiye tha","bhai, meri whatsapp pe message kar de na."
kya aaj ka traffic toh jaam hai!,"sahi hai, aur kya."
mujhe khana banane nahin aata yaar!,tere ghar mein aisi koi bhi dish nahi hai?
"haan yaar,ye toh baat ho gayi na?","abe, bas apna kaam toh kar lo."
"maine ye jacket kharid li hai,kya?","oh, bahut khubsurat hai."
teri new car dekh li kya?,"nahi, aaj dekha."
kya chalta hai?,"yaar, life mein bahut kuchh chalta hai."
ye movie toh hit ho jaayegi!,"sahi hai yaar, bahut funny hai."
"kya pata,shayad aaj rain ho jaaye!","arey yaar, aaj toh ekdum suhana mausam hai."
mujhe khush ho kar kya karna hai?,"chill maar, kya tension le raha hai."
kaisa hai?,"achcha hai, tum batao."
"bhai,coffee toh pee hi lo na","haan yaar, bas thodi der mein."
kya plan hai aaj?,aaj toh movie dekhne ka mood hai.
aaj kya khaane ko hai?,masala dosa banaya hai.
"chalo,ghoomne chalte hain","haan, kabhi toh jaana hi tha."
train miss ho gayi kya?,"haan yaar, pata nahin kya hua."
kya aapko pata hai?,"nahi yaar, mujhe kuchh nahin pata."
kya kya shopping kiya?,"bas, kuchh zaruri cheez hain."
kal kya karne ka plan hai?,kal toh office hi aana hai.
"kabhi aao,chai piyo","zarur aaunga, kabhi toh aana hi hai."
tum logon ka kya plan hai?,hum toh party karne jaa rahe hain.
kya aapko music pasand hai?,"haan, bahut pasand hai."
"chalo,kuchh khaate hain","haan, bhukh lagi hai."
kya aapko yeh book pasand aayi?,"haan, bahut aacchi hai."
kaise hai exam ki preparation?,"theek hai, par abhi bhi time hai."
kya tumhe pata hai?,"nahin, mujhe nahi pata."
kaam khatam ho gaya?,"haan, abhi hi khatam hua hai."
kya aapne movie dekha?,"haan, bahut aacchi movie thi."
kya tumhe yeh joke funny laga?,"haan, bahut majaa aaya."
"bhai,yeh movie dekhni hai kya?","haa yaar, aaj toh kuchh nahin kar raha hoon."
kya aaj party kar rahe ho?,"haan yaar, kuchh special toh nahin hai, bas chill karna hai."
chalo coffee peete hain?,"haa, chal, office ke baad aaj ka mood fresh karni hai."
tumne kya khana banaya?,bas aaj simple dal chawal hi banaya hai.
kal aaj kya chal raha hai?,"aaj toh office hi hai yaar, kaam ka din."
mobile mein kuchh interesting toh hai?,"nahi yaar, bas social media pe scroll kar raha hoon."
kya aaj ki meeting thik thi?,"haan yaar, thankfully sab smooth chala gaya."
tumne new phone kharida hai kya?,"haa yaar, finally upgrade kar diya, ab old phone chalta nahin tha."
kitne baje office jaana hai?,"aaj to jaldi jaana hai, 9 baje meeting hai."
kuchh shopping karni hai kya?,"nahi yaar, abhi to kuchh nahin, purse saaf hai."
ye kya padh rahe ho?,"koi nahin yaar, bas newspaper padh raha hoon."
aaj ka mood kaisa hai?,"aaj to kaafi khush hoon yaar, kuchh acchi news aayi hai."
kya aaj cricket match hai?,"haa yaar, aur aaj india khel raha hai."
movie dekhne ke liye kya plan hai?,"aaj toh bas ghar pe relax karna hai, movie toh kal dekhenge."
kya tumhe ye recipe pasand aayi?,"haan yaar, bahut tasty thi, tumne acchi banayi hai."
kya aaj aap ghar pe khana banaayenge?,"nahi, aaj bahar se order karna hai."
kya tumhe party mein maza aaya?,"haan yaar, bahut masti hui, sab log aaye the."
kaise ho aap?,"bas theek hoon, aap kaise ho?"
kuchh plan hai aaj ke liye?,"nahi yaar, aaj to kuchh nahin, bas ghar pe relax karunga."
aaj ka lunch kya hai?,aaj toh khana khud pakana padega.
kal party aana hai?,"haa yaar, aaunga. what time?"
kya movie dekh rahe ho?,"kuch naya aaya hai, dekh raha hoon."
exam kaisa gaya?,"bhai, fingers crossed! pata nahi."
coffee banati ho?,"haan, ek minute mein aati hai."
kal office late aana padega?,"haa yaar, traffic bahut zyada hai."
weekend plan kya hai?,bas ghar pe relax karna hai.
phone charge kiya?,"haa yaar, abhi abhi kiya hai."
ye kahaan se liya?,online shopping kiya tha.
kitna bill aaya?,"kya pata, credit card se pay kiya hai."
aaj dinner ke liye kya order karenge?,"bhai, kuch bhi, aaj mood nahi hai khane ka."
kya sun raha hai?,music! thodi relax karna hai.
kya padh raha hai?,"kuch notes padh raha hoon, exam hai."
cricket dekh rahe ho?,"haa yaar, india match hai."
ye bag new hai?,"haan, kal hi liya hai."
aaj ki meeting kaisa gaya?,"boring tha, kuch special nahi tha."
ab kya karenge?,"bas yaar, thodi der rest karna hai."
kaise ho aap?,"theek hun, aap kaise ho?"
"chalo,chai peete hain?","haan, chalo."
kya kar rahe ho aaj?,"bas, ghar pe hi chill maar raha hoon."
khana khaya?,"haan, abhi toh abhi khaya."
movie dekhne ja rahe ho kya?,"nahi yaar, mood nahi hai."
"bhai,ye kaam kab tak karega?",abhi thodi der mein ho jaayega.
kal ki party aana hai kya?,"haan, jarur aaoonga."
"kya hua,kya gham hai?","bas, thodi si tension hai."
coffee pi lo?,"haan, bilkul."
"bhai,ye kaun hai?",are yeh mere dost hain.
kya bol raha hai yeh?,"kuchh nahi, bas bakwas kar raha hai."
mobile charge hai kya?,"haan, 20% toh hai."
ye book padh rahe ho kya?,"haan, bahut interesting hai."
kon sa song play karo?,koi bhi favourite laga lo.
kya khana banaya?,aaj dal chawal banaya hai.
aaj bahut garam hai?,"haan, bahut zyada."
bus ka wait kar rahe ho?,"haan, kab aayegi yeh pata nahi."
office ka kaam khatam ho gaya?,abhi thoda sa baaki hai.
kuchh khaane ko manga lo kya?,"haan, pizza order kar lete hain."
kya karne ka plan hai aaj?,"kuchh nahi, aise hi ghumna hai."
kya khush khabar hai?,"are kuchh nahi, bas chalta hoon."
aaj ka khana kya banaya?,"kuch special nahin, aaloo gobhi sabzi banayi hai."
kya tumhen coffee pasand hai?,"haan yaar, khud se chai se zyada coffee peeta hoon."
kal movie dekhne jaana hai kya?,"aare nahin yaar, kal toh kaam hai zyada."
ye kya pehen ke aa gaya?,"yaar, ye naya shirt hai, kya laga?"
aaj ka traffic bahut badhiya tha?,"haan yaar, jaise jaise khule din aayenge, waise waise traffic bhi badhega."
phone chali gayi kya?,"haan yaar, abhi charge mein lagayi hai."
exam kaisa gaya?,"bhai, aaj ka exam toh aisa gaya jaise ghodi chalayi hai."
kal party karni hai kya?,"yaar, mujhe toh aana chahiye, par thoda busy hoon."
kya aaj khana bahar se mangaoon?,"nahin yaar, aaj ghar pe hi kuch bana lete hain."
kitni der lagti hai yahaan se airport tak?,"bahut der nahin lagti, around half an hour."
naya phone liya kya?,"haan yaar, pura confusion tha, finally samsung le liya."
ye sabhi kya kar rahe hain?,"aree yaar, sabhi friends mil ke chai peene aaye hain."
kabhi delhi aane ka plan hai kya?,"haan yaar, jaldi hi delhi jaane ka plan bana raha hoon."
aur kaise ho?,"bahut achchha hoon, tu kaise ho?"
aaj ka din kaisa raha?,"haan yaar, aaj ka din bahut busy raha."
tumhare ghar pe kya chai banta hai?,"humare ghar pe to alag alag type ki chai banta hai, kya tumhen chai peena hai?"
kya aapko yeh movie pasand aayi?,"haan yaar, movie to bahut mast thi, par thoda emotional thi."
kya aapko kal office jaana hai?,"nahin yaar, kal to chutti hai."
aaj ka weather kya hai?,"haan yaar, aaj ka weather toh mast hai, jaise kuch bhi kar sakte hain."
kaise ho yaar?,"haan, theek hun. tu bata, kya kar raha tha?"
"chalo,chai peete hain?","haa, mujhe toh chai ki khwahish ho rahi thi."
"phone kar,kya?","haan, kar de yaar, zara urgent hai."
kitna bill aaya?,"250 rupees, lekin split kar dete hain."
kya baat hai?,"aaj mood off hai, kya pata."
kya khaana bana rahi ho?,"aaj toh simple sa, dal chawal."
kahan jaana hai?,"woh new restaurant, try karne ja rahe hain."
aaj movie dekhne jaayenge?,"haan, kaun si movie dekhe?"
kaam khatam ho gaya?,"haa, ab thoda aaram kar sakta hu."
apna mobile dedo,"are yaar, aaj thoda busy hoon, baad me bataunga."
kab aaoge?,"kal, evening me aa jaunga."
"chalo,shopping karne chalte hain?","chalo, mujhe toh bahut kuch kharidna hai."
"kal exam hai,kya?","haan yaar, kuch padha nahi abhi."
aaj toh bahut garam hai,"haan, jaise furnace me baithe hain."
train miss kar diya?,"haan yaar, kahi nahi ja sakta ab."
wo film kaisi thi?,"super hit yaar, ekdam mindblowing."
"bhai,aap kya kar rahe the?","bas yaar, yeh saara kaam pura kar raha tha."
kaisi feeling hai?,"bilkul theek hun, thank you."
kitna time lagega?,bas 15 minutes me wahan pahunch jaunga.
"bhai,movie dekhne ja rahe ho kya?","haan yaar, kal raat ko, aana chahiye?"
aaj dinner bahar kar rahe hai kya?,"haan yaar, kabhi toh banana chahiye na."
"ye pakoda bahut tasty hai,ek aur kha?","nahi yaar, pet bhar gaya hai."
"kal exam hai,abhi tak padhai nahin hui","koi baat nahin, aaj rat jaag kar kar lena."
"kya,tujhe kya pata nahi hai?","are yaar, mujhe to bas ek idea tha."
"phone ka battery mar gaya,charging lagao?","haan yaar, lagao, lag jao."
"bhai,kya tumhari scooter aaj chal rahi hai?","haan yaar, chahiye toh le jao."
"coffee pee lo yaar,garam garam hai","haan yaar, ek cup pilao."
ye naya song suna hai?,"haan yaar, bahut mast hai."
apne bag mein kuchh khane ka hai kya?,"haan yaar, thode chips hain."
kitne paise diye the?,"yaar, ek se ek yaad nahin hai."
"kya,abhi bhi bahar baithoge?","haan yaar, kuchh der aur aaram se baithte hain."
yeh kaam aaj khatam karna padega,"haan yaar, abhi toh koi aur option nahin hai."
"kya,tumhara kaam khatam ho gaya?","haan yaar, ab aap bolo, kya karna hai?"
"koi movie dekhte hain,kaunsi dekhte hain?","yaar, aaj mood nahin hai, kal dekhte hain."
ye cake kaise banaya?,"are yaar, simple recipe hai, net pe search karo."
bahar kuchh khaane jaate hain kya?,"haan yaar, aaj pizza khana hai."
"yaar,kya aaj kaam nahin kar sakte ho?","are yaar, aaj thoda busy hu, kal kar leta hu."
aaj bahut garmi hai na?,"haan yaar, pata nahi kab yeh jayegi."
coffee peene jaana hai kya?,"chalo yaar, mere pehle kaam kar lene do."
tumhari exam kaisa gaya?,"accha gaya, lekin thodi pressure thi."
movie dekhne ka mood hai?,"haan yaar, koi interesting toh batao."
yeh new phone kaise hai?,"bahut achcha hai yaar, camera to badiya hai."
kitna traffic hai aaj?,"haan yaar, jaam mein phas gaya hoon."
apna lunch khaya kya?,"abhi nahi yaar, baad mein khaunga."
kya tumne yeh news dekha?,"haan yaar, badi sad news hai."
kya tumhara ghar dur hai?,"nahi yaar, paas hi hai."
kya tumhe pizza pasand hai?,"haan yaar, bahut pasand hai."
tumhari favourite colour kya hai?,mere favourite colour blue hai.
aap kaise ho?,"mai thik hoon, aap kaise ho?"
kaise ho aap?,"theek hun, thanks."
kya aaj bahut kaam hai?,"haan yaar, ek meeting bhi hai."
tumhare kya plans hai aaj?,"kuchh khaas nahin, ghar pe hi relax karunga."
kya tumne ye book padi hai?,"nahi yaar, but suna hai acchi hai."
kabhi khana banate ho kya?,"haan yaar, kabhi kabhi banati hun."
aaj kya kar rahe ho?,aaj shopping jaane ka plan hai.
tumhare birthday pe kya gift chahiye?,"kuchh special nahin, kuchh simple sa hi chahiye."
kaisa hai aaj?,"theek-thak yaar, tu kaisa hai?"
aaj bahut garmi hai!,"haan yaar, accha lag raha hai ki aaj weekend hai."
aaj kya khana banayega?,"kuch special nahi, aaj to bas roti sabzi banaungi."
kya tune wo movie dekhi?,"nahin yaar, kabhi time mila toh dekhunga."
"bus,bahut traffic hai yaar!","haan, kaam pe bhi late ho jaaunga."
ye laptop ka battery bahut jaldi khatam ho jaata hai!,"haan yaar, aise hi hota hai, new battery lagwao."
mujhe bahut thanda lag raha hai!,"ghar jaake ek garam chai peelo, tabhi thandaa jaayega."
kal ka exam kaise gaya?,"theek-thak yaar, acche marks aayenge to pata chalega."
aaj shopping karne jaana hai!,kya kharidna hai? mujhe bhi bata dena.
ye pizza bahut tasty hai!,"haan yaar, maine bhi order kiya tha kal."
kya tu mujhe aaj movie dekhne le ja sakta hai?,"haan yaar, koi issue nahi."
main aaj office se early jaa raha hoon!,kyun? kuch special plan hai?
kaam bahut pressure mein hai yaar!,"aaram se kaam karo, health important hai."
kya tumne coffee pee li?,"nahin yaar, abhi banana hi hai."
aaj ka weather kaisa hai?,"barish ka mausam hai, jaake umbrella le aa."
cricket match dekhna hai?,"haan yaar, kya match hai aaj?"
maine wo naya book padha hai!,kya naam hai? mujhe bhi bata.
aaj lunch khane jaana hai?,"haan yaar, kya khana hai?"
mujhe ye song bahut pasand hai!,"haan yaar, iski beats bahut acha hai."
aaj kaafi garam hai na?,"haan yaar, jalte hue cooker ki tarah!"
kaise ho tum?,"theek-thak, bas thoda tired hoon."
"chalo,coffee peena jaate hain?","chalo, meri treat!"
aaj ki party mein kya pehenu?,"kuchh simple sa, casual!"
movie dekhne ka plan hai?,"haan yaar, kaun si movie dekhni hai?"
"bhaiya,do chai dedo","chai aa gayi, sugar kam ya zyada?"
aaj traffic bahut zyada hai,"haan yaar, jaam lag gaya hai."
kaun si dish order karu?,"jo tumhe pasand ho, wo hi order karlo."
mobile charge karni hai?,"haan, adapter de do please."
kuchh khaana hai?,"nahi yaar, bhookh nahi lagi."
aaj kya khaana banaya hai?,aaj sabzi aur roti banayi hai.
bus aane mein kitna time lagega?,5 minute mein aa jaayegi.
kitne paise diye?,50 rupees diye.
kaise reach karu?,google maps use karlo.
tumhare ghar kaam kaise hai?,"sab thik hai, koi dikkat nahi."
kya aapko madad chahiye?,"haan, please help me."
kya hua?,"kuchh nahi, bas soch raha tha."
apna number do?,987654321
kab milte hain?,kal sham ko milte hain.
kya kar rahe ho yaar?,"bas, aaj kuchh shopping karne gaya tha."
"kya,college me kya chal raha hai?","kuchh nahi yaar, same old, same old."
"kya,aaj party karne ka mood hai?","nahi yaar, aaj toh khali mind nahi hai."
kaise ho bhai?,"bhai, tension thodi zyada hai."
kya khaana bana rahe ho?,"aaj toh kuchh simple, dal chawal bana rahi hoon."
kaise ho didi?,"acha hu, aap kaise ho?"
"kya,kabhi gym jaate ho?","haan, kabhi kabhi jaata hoon."
"kya,office ka kaam khatam ho gaya?","haan, abhi toh time hai."
"kya,movie dekhne ka plan hai?","haan, kal ek new movie aayi hai."
"kya,holidays ka plan ban gaya?","nahi yaar, abhi toh confusion hai."
kaise ho beta?,"maza aa raha hai yaar, kya bataun."
"kya,tumne coffee pi li?","haan, aabhi hi piya hai."
"kya,aap ko koi problem hai?","nahi yaar, kuchh nahi."
"kya,aaj tumhare birthday party me aayega?","haan yaar, zaroor aaunga."
"kya,kal school me test hai?","haan, maths ka test hai."
"kya,tumne dinner kar liya?","haan, abhi hi kiya hai."
"kya,tumko kisi ki help chahiye?","nahi yaar, main khud kar lunga."
"kya,aapne yeh book padhi hai?","nahi, abhi tak nahi padhi."
"kya,aaj weather bahut accha hai?","haan, aaj bahut maza aa raha hai."
aaj kahaan jaane wala hai?,"kya pata yaar, mood dekh kar decide karunga."
"bhai,pizza mangwaye kya?","haan yaar, jaldi se order kar de."
koi party plan hai?,"nahin yaar, aaj toh kuchh nahi hai."
bus ka ticket mil gaya kya?,"haan yaar, abhi online book kar liya."
kya tumne movie dekhi?,"haan, bohot maja aaya."
kaam ka pressure bahut hai na?,"haan yaar, khud pe bhi control nahi ho raha."
kya tumhe coffee pasand hai?,"haan, mujhe coffee bohot pasand hai."
kya tumhe kal school aana hai?,"haan, exam hai na."
aaj ka weather kaisa hai?,"baarish aane wali hai, lag raha hai."
kya tumne yeh book padhi hai?,"haan yaar, bohot accha book hai."
mujhe kuchh khane ka dil kar raha hai,"chalo yaar, burger khate hain."
